logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,source,speed,pace
26472425317,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",99,131,1075000,1075000,1110.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 4}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 13}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 0}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/02/19 19:29:17,2019-11-01 18:56:06,11/01/19 18:56:06,1075000,18.288,False,False,,,,,
26480520277,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 21, 'name': 'very'}]",102,221,1536000,1536000,2311.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 2}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 23}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 0}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/03/19 08:06:47,2019-11-02 23:47:02,11/02/19 23:47:02,1536000,33.528,False,False,,,,,
26681014672,Outdoor Bike,1071,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 11, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",108,170,1229000,1229000,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 2}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 17}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 2}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/12/19 14:51:24,2019-11-05 14:51:54,11/05/19 14:51:54,1229000,37.744,False,False,,,,,
26681014682,Outdoor Bike,1071,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",110,165,1126000,1126000,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 0}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 17}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 2}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/12/19 14:51:24,2019-11-07 07:02:44,11/07/19 07:02:44,1126000,32.004,False,False,,,,,
26681014684,Walk,90013,"[{'minutes': 9, 'name': 'sedentary'}, {'minutes': 7, 'name': 'lightly'}, {'minutes': 14, 'name': 'fairly'}, {'minutes': 12, 'name': 'very'}]",91,254,2560000,2560000,2214.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 19}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 23}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 0}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/12/19 14:51:25,2019-11-07 13:24:13,11/07/19 13:24:13,2560000,21.336,False,False,,,,,
26663744346,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 29, 'name': 'very'}]",142,408,1726000,1716000,4283.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 0}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 1}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 27}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 1}]",11/12/19 14:53:15,2019-11-07 14:31:40,11/07/19 14:31:40,1726000,28.346,False,True,3.696523,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '149200880', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'GPS', 'VO2_MAX', 'ELEVATION', 'PACE', 'CALORIES', 'STEPS']}",7.760916083916084,463.8627658222887
26681014696,Walk,90013,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 14, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",93,88,922000,922000,900.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 6}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 9}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 0}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/12/19 14:51:25,2019-11-09 12:01:43,11/09/19 12:01:43,922000,0.0,False,False,,,,,
26713596998,Outdoor Bike,1071,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 9, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 21, 'name': 'very'}]",106,298,2201000,2201000,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 4}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 33}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 0}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/13/19 22:31:25,2019-11-13 15:19:44,11/13/19 15:19:44,2201000,19.558,False,False,,,,,
26797978695,Outdoor Bike,1071,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 17, 'name': 'very'}]",121,179,1076000,1076000,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 0}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 12}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 2}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/18/19 11:00:07,2019-11-14 07:07:01,11/14/19 07:07:01,1076000,42.672,False,False,,,,,
26797978697,Outdoor Bike,1071,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 33, 'name': 'very'}]",106,398,2868000,2868000,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 92, 'minutes': 4}, {'name': 'Fat Burn', 'min': 92, 'max': 129, 'minutes': 43}, {'name': 'Cardio', 'min': 129, 'max': 157, 'minutes': 0}, {'name': 'Peak', 'min': 157, 'max': 220, 'minutes': 0}]",11/18/19 11:00:07,2019-11-14 16:20:02,11/14/19 16:20:02,2868000,24.384,False,False,,,,,
