Participant_ID,Dates,Steps
p04,2019-11-05,0
p04,2019-11-06,3236
p04,2019-11-07,2663
p04,2019-11-08,4081
p04,2019-11-11,3824
p04,2019-11-12,7388
p04,2019-11-13,6075
p04,2019-11-14,470
p04,2019-11-15,4682
p04,2019-11-17,9017
p04,2019-11-18,5286
p04,2019-11-19,3607
p04,2019-11-20,2202
p04,2019-11-21,1687
p04,2019-11-22,2223
p04,2019-11-23,1625
p04,2019-11-24,10071
p04,2019-11-25,7352
p04,2019-11-26,6427
p04,2019-11-28,5631
p04,2019-11-29,1095
p04,2019-11-30,2023
p04,2019-12-01,1513
p04,2019-12-02,5724
p04,2019-12-03,7611
p04,2019-12-05,2429
p04,2019-12-09,4534
p04,2019-12-10,5564
p04,2019-12-11,1546
p04,2019-12-12,5821
p04,2019-12-14,9664
p04,2019-12-15,1652
p04,2019-12-16,11313
p04,2019-12-17,6031
p04,2019-12-19,4783
p04,2019-12-20,1053
p04,2019-12-21,1361
p04,2019-12-22,3241
p04,2019-12-23,8790
p04,2019-12-24,1834
p04,2019-12-25,4681
p04,2019-12-26,12137
p04,2019-12-28,2541
p04,2019-12-29,5832
p04,2019-12-30,3691
p04,2019-12-31,1697
p04,2020-01-02,6031
p04,2020-01-03,5050
p04,2020-01-04,1511
p04,2020-01-06,2556
p04,2020-01-08,8493
p04,2020-01-09,7042
p04,2020-01-12,5761
p04,2020-01-13,3378
p04,2020-01-14,7415
p04,2020-01-15,7131
p04,2020-01-16,4270
p04,2020-01-17,8155
p04,2020-01-19,7126
p04,2020-01-20,7582
p04,2020-01-21,10900
p04,2020-01-22,1453
p04,2020-01-23,10346
p04,2020-01-24,8793
p04,2020-01-26,2914
p04,2020-01-27,4454
p04,2020-01-28,18136
p04,2020-01-30,582
p04,2020-01-31,2753
p04,2020-02-01,9592
p04,2020-02-02,2899
p04,2020-02-03,10914
p04,2020-02-04,5003
p04,2020-02-05,7055
p04,2020-02-07,1939
p04,2020-02-09,433
p04,2020-02-10,2183
p04,2020-02-11,7697
p04,2020-02-12,3771
p04,2020-02-15,2480
p04,2020-02-16,3280
p04,2020-02-17,4749
p04,2020-02-18,533
p04,2020-02-20,2922
p04,2020-02-21,1680
p04,2020-02-22,1203
p04,2020-02-24,5497
p04,2020-02-26,3895
p04,2020-02-27,6732
p04,2020-02-29,6597
p04,2020-03-01,5994
p04,2020-03-03,4218
p04,2020-03-04,1812
p04,2020-03-05,2952
p04,2020-03-06,1388
p04,2020-03-07,1432
p04,2020-03-08,1869
p04,2020-03-09,7793
p04,2020-03-10,5606
p04,2020-03-11,2374
p04,2020-03-13,7111
p04,2020-03-14,5943
p04,2020-03-16,919
p04,2020-03-17,4835
p04,2020-03-18,4575
p04,2020-03-19,1063
p04,2020-03-20,5535
p04,2020-03-22,3925
p04,2020-03-23,10412
p04,2020-03-24,1863
p04,2020-03-25,6757
p04,2020-03-26,7793
p04,2020-03-27,3564
p04,2020-03-28,9950
p04,2020-03-29,3322
p04,2020-03-30,2300
